-5   0.00	0.00	0.00	0.00	0.00	0.000	0.00  
-4	0.00	0.13	0.13	0.00	0.00	0.000	0.24  
-3	0.41	0.25	0.38	0.24	0.22	0.250	0.36  
-2	0.82	1.27	1.52	1.82	0.34	0.380	2.03  
-1	15.67	38.6	34.47	39.76	3.60	5.810	38.21 
0	70.31	56.69	57.83	54.83	51.8	57.70	55.16 
1	14.02	3.82	6.19	4.50	42.92	35.35	4.54  
2	0.82	0.38	0.51	0.24	1.91	1.640	0.48  
3	0.41	0.13	0.25	0.00	0.22	0.380	0.24  
4   0.00	0.00	0.00	0.00	0.00	0.250	0.00  
5   0.00	0.00	0.00	0.00	0.00	0.000	0.00  
